frame,rppg_signal
0,0.32324085
1,0.737377
2,-0.3504835
3,-0.10605494
4,0.13004358
5,-0.7211189
6,-3.7947323
7,-1.5345448
8,-2.3819418
9,-2.0060976
10,-1.878265
11,-1.7053224
12,-1.5735569
13,-2.1770167
14,-0.20128457
15,-0.48802745
16,-0.43887722
17,0.7033864
18,0.6212581
19,-1.9119171
20,-1.4622322
21,-1.4062263
22,-1.5437973
23,-1.2176076
24,-1.6498729
25,-1.4749081
26,-1.8774877
27,-2.0558333
28,0.37878624
29,0.3896952
30,0.29083928
31,0.26181978
32,0.46030465
33,0.09260667
34,0.086972676
35,-0.17633477
36,0.04337959
37,0.39257666
38,0.07174264
39,0.30305165
40,0.8706422
41,0.43700293
42,0.81035084
43,1.6421735
44,1.3618171
45,1.28299
46,0.93276834
47,0.4169614
48,0.20434476
49,1.5907149
50,1.645713
51,1.1984688
52,1.433397
53,1.913226
54,1.9032931
55,2.097562
56,1.8545364
57,1.957741
58,2.1545484
59,1.9754803
60,1.7779437
61,2.1021748
62,1.5675368
63,1.1166339
64,0.9381488
65,1.1032904
66,1.3517419
67,1.413098
68,1.4082402
69,1.23519
70,1.6150824
71,1.8151097
72,1.7304586
73,1.6900649
74,2.1743639
75,1.4990228
76,1.9347701
77,1.8166935
78,1.7156956
79,1.2838526
80,1.6792178
81,1.299486
82,1.9757067
83,1.8039436
84,1.6943794
85,1.8144053
86,1.4513017
87,1.550916
88,1.6656455
89,1.63599
90,1.086644
91,1.248109
92,0.48405808
93,1.1874214
94,0.17629234
95,-0.1809022
96,0.02625572
97,0.0062137744
98,-0.6215825
99,-0.7695
100,0.28305438
101,-0.24955168
102,0.18697195
103,-0.97673976
104,0.35135493
105,0.09639747
106,-0.5626519
107,0.018453373
108,-0.33982512
109,-0.5257056
110,-1.0411538
111,-0.46853027
112,0.07262315
113,-0.22308864
114,-0.44007802
115,-0.5300157
116,-0.4734332
117,-0.6725832
118,-0.6140299
119,0.24750218
120,-0.5104326
121,-0.45508045
122,0.1504027
123,0.030927543
124,0.22380234
125,-0.0055729593
126,-0.37172782
127,-0.37354454
128,-0.6284017
129,-0.8601714
130,-0.6624141
131,-0.71157235
132,-0.45402756
133,-0.6817439
134,-0.9862404
135,-0.1755049
136,-0.6227626
137,-3.2197
138,-0.805608
139,-0.23338906
140,-0.5951929
141,-0.076018445
142,-0.13770264
143,-0.065326996
144,-0.71564275
145,0.34733504
146,-0.41225082
147,-0.24801137
148,-0.24162444
149,-0.33389843
150,-0.5599717
151,-0.17677808
152,-0.32816413
153,-0.53234965
154,-0.24825896
155,-0.8229562
156,-0.47043085
157,-0.14519802
158,-0.7669233
159,-0.5124004
160,-0.4965577
161,-0.3937489
162,-0.79371303
163,-0.38045982
164,-0.3304716
165,-0.1270899
166,-0.110404335
167,-0.040070307
168,-0.549062
169,-0.5414442
170,-0.2097661
171,-0.32473552
172,0.2452636
173,0.13418764
174,0.4511507
175,0.84986985
176,0.77294093
177,0.46808332
178,0.3636227
179,-0.061509766
180,0.41717696
181,0.3178718
182,0.015454206
183,-0.066752955
184,0.1851438
185,0.5867919
186,-2.4944205
187,0.41904566
188,0.7091018
189,0.48818627
190,0.32431602
191,-0.3740283
192,0.089116044
193,0.3506998
194,0.33914697
195,0.031033875
196,-0.39212576
197,-0.7073493
198,-0.81696063
199,-0.17864472
200,-0.5361023
201,-0.2933859
202,-0.04122541
203,-0.18782362
204,-0.13902532
205,-0.3445152
206,0.45917234
207,-3.087563
208,0.15909097
209,-0.06671083
210,0.35304603
211,0.3145185
212,0.009284787
213,-0.4765072
214,-0.46842107
215,-0.042074114
216,-0.14109564
217,0.4794507
218,0.20725667
219,0.19048288
220,0.23468426
221,-2.7395992
222,-0.3260781
223,-0.13331851
224,-0.14758483
225,-0.03918499
226,0.009869413
227,-0.3310715
228,-0.052754495
229,0.124120444
230,-0.06720464
231,0.27663997
232,0.27763316
233,-0.32236272
234,0.13717647
235,0.27309352
236,-0.2488154
237,0.08085655
238,-0.6348043
239,-0.2891781
240,0.33708248
241,0.18382408
242,-0.05640014
243,-0.56497014
244,-0.41721773
245,0.37307552
246,0.42601654
247,0.3845397
248,0.45669863
249,0.057621486
250,0.23740256
251,0.25165147
252,0.112479836
253,0.2991479
254,-0.11293032
255,0.09617143
256,0.1621701
257,-0.06646448
258,0.1702918
259,-0.04674496
260,0.19725505
261,0.42835674
262,0.08221698
263,0.20743999
264,0.12190048
265,-2.922857
266,-0.54898703
267,-0.12556225
268,-3.1682365
269,0.5955632
270,-0.14354163
271,-0.071518905
272,0.2363621
273,0.37246117
274,-0.72500557
275,-0.19735615
276,-0.33078277
277,0.2744827
278,-0.115944594
279,-0.21312213
280,-0.062434144
281,-0.09744633
282,-0.20427132
283,-0.53644216
284,-0.31862074
285,0.024509499
286,-0.17448461
287,0.065066494
288,-0.35166886
289,0.33447105
290,0.5589448
291,-2.5524414
292,-0.19432098
293,0.016651893
294,-0.18396127
295,-1.8577375
296,-1.9726578
297,-1.7067981
298,-1.6401799
299,-1.0664376
